run,turn_limit,turn_count,classification,latency_ms,issues
1,2,1,valid first attempt,76117.25,[]
2,2,1,valid first attempt,71694.8,[]
3,2,1,valid first attempt,71710.09,[]
4,2,1,valid first attempt,71944.59,[]
5,2,1,valid first attempt,71812.27,[]
6,2,1,valid first attempt,71979.96,[]
7,2,1,valid first attempt,71870.11,[]
8,2,1,valid first attempt,72039.25,[]
9,2,1,valid first attempt,71164.09,[]
10,2,1,valid first attempt,70898.19,[]
11,2,1,valid first attempt,72284.81,[]
12,2,1,valid first attempt,71160.72,[]
13,2,1,valid first attempt,71136.72,[]
14,2,1,valid first attempt,70939.31,[]
15,2,1,valid first attempt,70981.68,[]
16,2,1,valid first attempt,71771.09,[]
17,2,1,valid first attempt,71134.68,[]
18,2,1,valid first attempt,71897.04,[]
19,2,1,valid first attempt,70734.61,[]
20,2,1,valid first attempt,70532.72,[]
